2E81 FE50 ⺁
2E84 FE54 ⺄
2E88 FE57 ⺈
2E8B FE58 ⺋
2E8C FE5D ⺌
2E97 FE5E ⺗
2EA7 FE6B ⺧
2EAA FE6E ⺪
2EAE FE71 ⺮
2EB3 FE73 ⺳
2EB6 FE74 ⺶
2EB7 FE75 ⺷
2EBB FE79 ⺻
2ECA FE84 ⻊
3400 8139EE39 㐀
3401 8139EF30 㐁
3402 8139EF31 㐂
3403 8139EF32 㐃
3404 8139EF33 㐄
3405 8139EF34 㐅
3406 8139EF35 㐆
3407 8139EF36 㐇
3408 8139EF37 㐈
3409 8139EF38 㐉
340A 8139EF39 㐊
340B 8139F030 㐋
340C 8139F031 㐌
340D 8139F032 㐍
340E 8139F033 㐎
340F 8139F034 㐏
3410 8139F035 㐐
3411 8139F036 㐑
3412 8139F037 㐒
3413 8139F038 㐓
3414 8139F039 㐔
3415 8139F130 㐕
3416 8139F131 㐖
3417 8139F132 㐗
3418 8139F133 㐘
3419 8139F134 㐙
341A 8139F135 㐚
341B 8139F136 㐛
341C 8139F137 㐜
341D 8139F138 㐝
341E 8139F139 㐞
341F 8139F230 㐟
3420 8139F231 㐠
3421 8139F232 㐡
3422 8139F233 㐢
3423 8139F234 㐣
3424 8139F235 㐤
3425 8139F236 㐥
3426 8139F237 㐦
3427 8139F238 㐧
3428 8139F239 㐨
3429 8139F330 㐩
342A 8139F331 㐪
342B 8139F332 㐫
342C 8139F333 㐬
342D 8139F334 㐭
342E 8139F335 㐮
342F 8139F336 㐯
3430 8139F337 㐰
3431 8139F338 㐱
3432 8139F339 㐲
3433 8139F430 㐳
3434 8139F431 㐴
3435 8139F432 㐵
3436 8139F433 㐶
3437 8139F434 㐷
3438 8139F435 㐸
3439 8139F436 㐹
343A 8139F437 㐺
343B 8139F438 㐻
343C 8139F439 㐼
343D 8139F530 㐽
343E 8139F531 㐾
343F 8139F532 㐿
3440 8139F533 㑀
3441 8139F534 㑁
3442 8139F535 㑂
3443 8139F536 㑃
3444 8139F537 㑄
3445 8139F538 㑅
3446 8139F539 㑆
3447 FE56 㑇
