AC00 가
AC01 각
AC04 간
AC07 갇
AC08 갈
AC09 갉
AC0A 갊
AC0B 갋
AC10 감
AC11 갑
AC12 값
AC13 갓
AC14 갔
AC15 강
AC16 갖
AC17 갗
AC19 같
AC1A 갚
AC1B 갛
AC1C 개
AC1D 객
AC20 갠
AC23 갣
AC24 갤
AC2C 갬
AC2D 갭
AC2F 갯
AC30 갰
AC31 갱
AC38 갸
AC39 갹
AC3C 갼
AC40 걀
AC4B 걋
AC4D 걍
AC54 걔
AC58 걘
AC5C 걜
AC65 걥
AC70 거
AC71 걱
AC74 건
AC77 걷
AC78 걸
AC7A 걺
AC80 검
AC81 겁
AC82 겂
AC83 것
AC84 겄
AC85 겅
AC86 겆
AC89 겉
AC8A 겊
AC8B 겋
AC8C 게
AC8D 겍
AC90 겐
AC94 겔
AC9C 겜
AC9D 겝
AC9F 겟
ACA0 겠
ACA1 겡
ACA8 겨
ACA9 격
ACAA 겪
ACAC 견
ACAF 겯
ACB0 결
ACB7 겷
ACB8 겸
ACB9 겹
ACBB 겻
ACBC 겼
ACBD 경
ACBF 겿
ACC1 곁
ACC4 계
ACC8 곈
ACCC 곌
ACD5 곕
ACD7 곗
ACD8 곘
ACE0 고
ACE1 곡
ACE4 곤
ACE7 곧
ACE8 골
ACEA 곪
ACEC 곬
ACEF 곯
ACF0 곰
ACF1 곱
ACF3 곳
ACF5 공
ACF6 곶
ACF9 곹
ACFC 과
ACFD 곽
AD00 관
AD04 괄
AD06 괆
AD0C 괌
AD0D 괍
AD0F 괏
AD10 괐
AD11 광
AD12 괒
AD18 괘
AD1C 괜
AD20 괠
AD22 괢
AD29 괩
AD2C 괬
AD2D 괭
AD34 괴
AD35 괵
AD38 괸
AD3C 괼
AD44 굄
AD45 굅
AD47 굇
AD49 굉
AD50 교
AD54 굔
AD58 굘
AD60 굠
AD61 굡
AD63 굣
AD65 굥
AD6C 구
AD6D 국
AD70 군
AD73 굳
AD74 굴
AD75 굵
AD76 굶
AD7B 굻
AD7C 굼
AD7D 굽
AD7F 굿
AD81 궁
AD82 궂
AD83 궃
AD88 궈
AD89 궉
AD8C 권
AD90 궐
AD9C 궜
AD9D 궝
ADA4 궤
ADB7 궷
ADB8 궸
ADC0 귀
