2E81 FE50 ⺁
2E84 FE54 ⺄
2E88 FE57 ⺈
2E8B FE58 ⺋
2E8C FE5D ⺌
2E97 FE5E ⺗
2EA7 FE6B ⺧
2EAA FE6E ⺪
2EAE FE71 ⺮
2EB3 FE73 ⺳
2EB6 FE74 ⺶
2EB7 FE75 ⺷
2EBB FE79 ⺻
2ECA FE84 ⻊
2F00 81398B32 ⼀
2F01 81398B33 ⼁
2F02 81398B34 ⼂
2F03 81398B35 ⼃
2F04 81398B36 ⼄
2F05 81398B37 ⼅
2F06 81398B38 ⼆
2F07 81398B39 ⼇
2F08 81398C30 ⼈
2F09 81398C31 ⼉
2F0A 81398C32 ⼊
2F0B 81398C33 ⼋
2F0C 81398C34 ⼌
2F0D 81398C35 ⼍
2F0E 81398C36 ⼎
2F0F 81398C37 ⼏
2F10 81398C38 ⼐
2F11 81398C39 ⼑
2F12 81398D30 ⼒
2F13 81398D31 ⼓
2F14 81398D32 ⼔
2F15 81398D33 ⼕
2F16 81398D34 ⼖
2F17 81398D35 ⼗
2F18 81398D36 ⼘
2F19 81398D37 ⼙
2F1A 81398D38 ⼚
2F1B 81398D39 ⼛
2F1C 81398E30 ⼜
2F1D 81398E31 ⼝
2F1E 81398E32 ⼞
2F1F 81398E33 ⼟
2F20 81398E34 ⼠
2F21 81398E35 ⼡
2F22 81398E36 ⼢
2F23 81398E37 ⼣
2F24 81398E38 ⼤
2F25 81398E39 ⼥
2F26 81398F30 ⼦
2F27 81398F31 ⼧
2F28 81398F32 ⼨
2F29 81398F33 ⼩
2F2A 81398F34 ⼪
2F2B 81398F35 ⼫
2F2C 81398F36 ⼬
2F2D 81398F37 ⼭
2F2E 81398F38 ⼮
2F2F 81398F39 ⼯
2F30 81399030 ⼰
2F31 81399031 ⼱
2F32 81399032 ⼲
2F33 81399033 ⼳
2F34 81399034 ⼴
2F35 81399035 ⼵
2F36 81399036 ⼶
2F37 81399037 ⼷
2F38 81399038 ⼸
2F39 81399039 ⼹
2F3A 81399130 ⼺
2F3B 81399131 ⼻
2F3C 81399132 ⼼
2F3D 81399133 ⼽
