3007 〇
34df 㓟
34e4 㓤
35a1 㖡
35ad 㖭
35bf 㖿
35ce 㗎
35fe 㗾
362d 㘭
373a 㜺
39ec 㧬
39fe 㧾
3a18 㨘
3a52 㩒
3a57 㩗
3a67 㩧
3b39 㬹
3ddb 㷛
3deb 㷫
3e74 㹴
3fed 㿭
3ffa 㿺
406a 䁪
40df 䃟
43e1 䏡
43f2 䏲
44db 䓛
44dd 䓝
44ea 䓪
44ec 䓬
4882 䢂
4989 䦉
4c33 䰳
4c5b 䱛
4c7d 䱽
4c81 䲁
4c97 䲗
4ccd 䳍
4d08 䴈
4d09 䴉
4e21 両
4e2a 个
4e5c 乜
4e6a 乪
4e78 乸
4e98 亘
4ec6 仆
4ece 从
4eee 仮
4f01 企
4f62 佢
4fb2 侲
4ffe 俾
501e 倞
5078 偸
508c 傌
50c6 僆
50cd 働
50de 僞
510d 儍
516a 兪
5185 内
5186 円
5187 冇
519a 冚
51a7 冧
51b2 冲
51b3 决
51b4 冴
51b5 况
51c9 凉
51df 凟
51e7 凧
51e9 凩
51ea 凪
51ed 凭
51f4 凴
5226 刦
5227 刧
528f 劏
5296 劖
52b9 効
52c5 勅
535f 卟
5374 却
53a0 厠
53a6 厦
53a8 厨
53b4 厴
53c1 叁
53cc 双
53d9 叙
53e0 叠
53ed 叭
53f6 叶
53fb 叻
53fe 叾
5413 吓
5414 吔
5416 吖
5421 吡
542a 吪
5432 吲
543c 吼
543d 吽
5440 呀
5443 呃
544b 呋
544d 呍
5454 呔
5462 呢
546a 呪
5471 呱
5476 呶
5481 咁
5487 咇
548b 咋
548f 咏
5493 咓
5494 咔
5496 咖
5497 咗
54a4 咤
54a9 咩
54aa 咪
54ad 咭
54af 咯
54b2 咲
54cb 哋
54cc 哌
54cd 响
54da 哚
54e6 哦
54e9 哩
54fd 哽
5502 唂
5513 唓
5514 唔
551a 唚
551e 唞
5525 唥
5545 啅
5549 啉
5553 啓
555d 啝
5569 啩
556a 啪
556b 啫
5571 啱
5572 啲
5575 啵
5579 啹
5586 喆
5587 喇
5590 喐
55a9 喩
55b0 喰
55b1 喱
55b9 喹
55ba 喺
55bc 喼
55cc 嗌
55d2 嗒
55d7 嗗
55de 嗞
55ea 嗪
55ec 嗬
55f0 嗰
55f1 嗱
55f2 嗲
55f6 嗶
5605 嘅
560d 嘍
560e 嘎
561c 嘜
561e 嘞
5622 嘢
5623 嘣
5625 嘥
562d 嘭
5643 噃
5649 噉
564d 噍
564f 噏
5652 噒
5654 噔
565a 噚
565d 噝
567a 噺
567b 噻
5689 嚉
5692 嚒
569f 嚟
56a1 嚡
56a4 嚤
