4e00 一
4e01 丁
4e03 七
4e07 万
4e08 丈
4e09 三
4e0a 上
4e0b 下
4e0d 不
4e0e 与
4e11 丑
4e14 且
4e16 世
4e18 丘
4e19 丙
4e1e 丞
4e21 両
4e26 並
4e2d 中
4e32 串
4e38 丸
4e39 丹
4e3b 主
4e43 乃
4e45 久
4e4b 之
4e4d 乍
4e4e 乎
4e4f 乏
4e57 乗
4e59 乙
4e5d 九
4e5e 乞
4e5f 也
4e71 乱
4e73 乳
4e7e 乾
4e80 亀
4e86 了
4e88 予
4e89 争
4e8b 事
4e8c 二
4e91 云
4e92 互
4e94 五
4e95 井
4e98 亘
4e99 亙
4e9b 些
4e9c 亜
4ea1 亡
4ea4 交
4ea5 亥
4ea6 亦
4ea8 亨
4eab 享
4eac 京
4ead 亭
4eae 亮
4eba 人
4ec0 什
4ec1 仁
4ec7 仇
4eca 今
4ecb 介
4ecf 仏
4ed4 仔
4ed5 仕
4ed6 他
4ed8 付
4ed9 仙
4ee3 代
4ee4 令
4ee5 以
4eee 仮
4ef0 仰
4ef2 仲
4ef6 件
4efb 任
4f01 企
4f0a 伊
4f0d 伍
4f0e 伎
4f0f 伏
4f10 伐
4f11 休
4f1a 会
4f1d 伝
4f2f 伯
4f34 伴
4f36 伶
4f38 伸
4f3a 伺
4f3c 似
4f3d 伽
4f43 佃
4f46 但
4f4d 位
4f4e 低
4f4f 住
4f50 佐
4f51 佑
4f53 体
4f55 何
4f59 余
4f5c 作
4f73 佳
4f75 併
4f7c 佼
4f7f 使
4f83 侃
4f8b 例
4f8d 侍
4f9b 供
4f9d 依
4fa0 侠
4fa1 価
4fad 侭
4fae 侮
4faf 侯
4fb5 侵
4fb6 侶
4fbf 便
4fc2 係
4fc3 促
4fc4 俄
4fca 俊
4fd7 俗
4fdd 保
4fe1 信
4fe3 俣
4fee 修
4ff3 俳
4ff5 俵
4ff8 俸
4ffa 俺
5009 倉
500b 個
500d 倍
5012 倒
5016 倖
5019 候
501f 借
5023 倣
5024 値
5026 倦
502b 倫
502d 倭
5036 倶
5039 倹
5049 偉
504f 偏
505c 停
5065 健
5072 偲
5074 側
5075 偵
5076 偶
507d 偽
508d 傍
5091 傑
5098 傘
5099 備
50ac 催
50ad 傭
50b5 債
50b7 傷
50be 傾
50c5 僅
50cd 働
50cf 像
50d1 僑
50d5 僕
50da 僚
50e7 僧
50fb 僻
5100 儀
5104 億
5112 儒
511f 償
512a 優
5132 儲
5141 允
5143 元
5144 兄
5145 充
5146 兆
5147 兇
5148 先
5149 光
514b 克
514d 免
514e 兎
5150 児
515a 党
515c 兜
5165 入
5168 全
516b 八
516c 公
516d 六
5171 共
5175 兵
5176 其
5177 具
5178 典
517c 兼
5185 内
5186 円
518a 冊
518d 再
5192 冒
5197 冗
5199 写
51a0 冠
51a5 冥
51a8 冨
51ac 冬
51b4 冴
51b6 冶
