4e10 丐
4e15 丕
4e17 丗
4e2a 个
4e31 丱
4e36 丶
4e3c 丼
4e3f 丿
4e42 乂
4e55 乕
4e56 乖
4e58 乘
4e62 乢
4e82 亂
4e85 亅
4e8a 亊
4e8e 于
4e9e 亞
4e9f 亟
4ea0 亠
4ea2 亢
4eb0 亰
4eb3 亳
4eb6 亶
4ec2 仂
4ec4 仄
4ec6 仆
4ecd 仍
4ece 从
4ed7 仗
4ede 仞
4edf 仟
4eed 仭
4ef7 价
4f09 伉
4f1c 伜
4f30 估
4f47 佇
4f57 佗
4f5a 佚
4f5b 佛
4f5d 佝
4f5e 佞
4f69 佩
4f6f 佯
4f70 佰
4f76 佶
4f7b 佻
4f86 來
4f88 侈
4f8f 侏
4f91 侑
4f96 侖
4f98 侘
4fab 侫
4fce 俎
4fd0 俐
4fd1 俑
4fd4 俔
4fd8 俘
4fda 俚
4fdb 俛
4fdf 俟
4fe4 俤
4fe5 俥
4fef 俯
4ff6 俶
4ffe 俾
5005 倅
5006 倆
500f 倏
5011 們
5014 倔
501a 倚
5021 倡
5025 倥
5028 倨
5029 倩
502a 倪
502c 倬
5043 偃
5047 假
5048 偈
5050 偐
5055 偕
5056 偖
505a 做
506c 偬
5078 偸
5080 傀
5085 傅
509a 傚
50b2 傲
50b3 傳
50b4 傴
50c2 僂
50c9 僉
50ca 僊
50d6 僖
50de 僞
50e3 僣
50e5 僥
50ed 僭
50ee 僮
50f5 僵
50f9 價
5101 儁
5102 儂
5109 儉
5114 儔
5115 儕
5116 儖
5118 儘
511a 儚
5121 儡
5137 儷
513a 儺
513b 儻
513c 儼
513f 儿
5140 兀
514c 兌
5152 兒
5154 兔
5162 兢
5169 兩
516a 兪
516e 兮
5180 冀
5182 冂
5189 冉
518c 册
518f 冏
5190 冐
5191 冑
5193 冓
5195 冕
5196 冖
51a2 冢
51a4 冤
51a6 冦
51a9 冩
51aa 冪
51ab 冫
51b0 冰
51b1 冱
51b2 冲
51b3 决
51b5 况
51bd 冽
51c5 凅
51c9 凉
51d6 凖
51db 凛
51dc 凜
51e0 几
51e9 凩
51ed 凭
51f0 凰
51f5 凵
51fe 凾
5204 刄
520b 刋
520e 刎
5214 刔
5227 刧
522a 刪
522e 刮
5233 刳
5239 刹
5244 剄
524b 剋
524c 剌
524f 剏
5254 剔
525e 剞
5269 剩
526a 剪
5271 剱
5273 剳
5274 剴
527d 剽
527f 剿
5288 劈
528d 劍
5291 劑
5292 劒
5294 劔
52ac 劬
52ad 劭
52b5 劵
52bc 劼
52c1 勁
52cd 勍
52d2 勒
52d7 勗
52de 勞
52e0 勠
52e3 勣
52e6 勦
52f3 勳
52f5 勵
52f8 勸
52f9 勹
5306 匆
5308 匈
530d 匍
530f 匏
5310 匐
5315 匕
531a 匚
5323 匣
532f 匯
5331 匱
5333 匳
5338 匸
5340 區
5345 卅
5346 卆
5349 卉
534d 卍
535e 卞
5369 卩
536e 卮
5377 卷
537b 卻
5382 厂
5396 厖
53a0 厠
53a5 厥
53a6 厦
53ae 厮
53b0 厰
53b6 厶
53c3 參
53df 叟
53e8 叨
53ed 叭
53ee 叮
53fa 叺
5401 吁
541d 吝
5429 吩
542c 听
542d 吭
542e 吮
5436 吶
543c 吼
543d 吽
5440 呀
544e 呎
545f 呟
5470 呰
5471 呱
5475 呵
5476 呶
5477 呷
547b 呻
5480 咀
5484 咄
5486 咆
548e 咎
548f 咏
5490 咐
5492 咒
54a2 咢
54a4 咤
54a5 咥
54a8 咨
54ab 咫
54ac 咬
54af 咯
54b8 咸
54bc 咼
54be 咾
54c2 哂
54c4 哄
54c7 哇
54c8 哈
54d8 哘
54e2 哢
54e5 哥
54e6 哦
54ed 哭
54ee 哮
54fa 哺
54fd 哽
550f 唏
5514 唔
552e 售
5533 唳
5538 唸
5539 唹
5540 啀
5545 啅
554c 啌
5556 啖
5557 啗
555c 啜
555d 啝
5563 啣
557b 啻
557c 啼
557e 啾
5580 喀
5583 喃
5587 喇
558a 喊
5598 喘
5599 喙
559e 喞
559f 喟
55a8 喨
55a9 喩
55ae 單
55c4 嗄
55c5 嗅
55c7 嗇
55d4 嗔
55da 嗚
55dc 嗜
55df 嗟
55e4 嗤
55f7 嗷
55f9 嗹
55fd 嗽
55fe 嗾
5614 嘔
5616 嘖
561b 嘛
562f 嘯
5632 嘲
5634 嘴
5636 嘶
5638 嘸
564e 噎
