4e11 丑
4e1e 丞
4e43 乃
4e4b 之
4e4e 乎
4e58 乘
4e5f 也
4e91 云
4e98 亘
4e99 亙
4e9b 些
4e9e 亞
4ea5 亥
4ea6 亦
4ea8 亨
4eae 亮
4ed4 仔
4f0a 伊
4f0d 伍
4f36 伶
4f3d 伽
4f43 佃
4f51 佑
4f5b 佛
4f83 侃
4f86 來
4f91 侑
4fc4 俄
4fd0 俐
4fe0 俠
4fe3 俣
4ff1 俱
5016 倖
5026 倦
502d 倭
5072 偲
50ad 傭
50b3 傳
50de 僞
50f9 價
5109 儉
5132 儲
5141 允
514e 兎
5152 兒
515c 兜
5176 其
51a8 冨
51b4 冴
51c9 凉
51cc 凌
51db 凛
51dc 凜
51e7 凧
51ea 凪
51f0 凰
51f1 凱
51fd 函
5269 剩
5289 劉
528d 劍
52ab 劫
52c1 勁
52f3 勳
52fa 勺
52ff 勿
5301 匁
5321 匡
535c 卜
536f 卯
5377 卷
537d 卽
537f 卿
53a8 厨
53a9 厩
53c9 叉
53e1 叡
53e2 叢
53ea 只
53f6 叶
541e 吞
543b 吻
543e 吾
54c9 哉
54e8 哨
54e9 哩
5544 啄
558b 喋
55a7 喧
55ac 喬
55ae 單
55b0 喰
5609 嘉
5617 嘗
5629 嘩
5642 噂
564c 噌
56b4 嚴
5703 圃
5708 圈
570b 國
5713 圓
5718 團
572d 圭
5750 坐
5766 坦
57dc 埜
57f4 埴
582f 堯
5830 堰
5835 堵
583a 堺
5859 塙
589e 增
58d5 壕
58d8 壘
58de 壞
58ec 壬
58ef 壯
58fd 壽
5937 夷
5944 奄
594e 奎
5957 套
5967 奧
596c 奬
59e5 姥
59ea 姪
5a03 娃
5a29 娩
5b09 嬉
5b43 孃
5b5c 孜
5b5f 孟
5b8b 宋
5b8f 宏
5b95 宕
5ba5 宥
5bc5 寅
5bd3 寓
5be2 寢
5be6 實
5bec 寬
5bf5 寵
5c07 將
5c08 專
5c16 尖
5c24 尤
5c2d 尭
5c51 屑
5ce8 峨
5cef 峯
5cfb 峻
5cfd 峽
5d1a 崚
5d69 嵩
5d6f 嵯
5d8b 嶋
5dba 嶺
5dcc 巌
5dd6 巖
5de2 巢
5deb 巫
5df2 已
5df3 巳
5df4 巴
5df7 巷
5dfd 巽
5e16 帖
5e36 帶
5e4c 幌
5e61 幡
5e84 庄
5e87 庇
5e9a 庚
5eb5 庵
5edf 廟
5ee3 廣
5ef3 廳
5efb 廻
5eff 廿
5f18 弘
5f1b 弛
5f48 彈
5f4c 彌
5f57 彗
5f66 彦
5f6a 彪
5f6c 彬
5f9e 從
5fa0 徠
5fb5 徵
5fb7 德
5fbd 徽
5ffd 忽
601c 怜
6046 恆
6055 恕
6062 恢
6070 恰
6089 悉
608c 悌
60c7 惇
60da 惚
60df 惟
60e0 惠
60e1 惡
60e3 惣
60f9 惹
60fa 惺
613c 愼
6167 慧
6190 憐
61c9 應
61f7 懷
620a 戊
6216 或
621f 戟
6230 戰
6232 戲
6258 托
62c2 拂
62d4 拔
62dc 拜
6309 按
633a 挺
633d 挽
6367 捧
6372 捲
6377 捷
637a 捺
63a0 掠
63ac 掬
63c3 揃
63ed 揭
6416 搖
641c 搜
6451 摑
647a 摺
6492 撒
649e 撞
64ab 撫
64ad 播
64b0 撰
64ca 擊
64e2 擢
651d 攝
6536 收
654d 敍
6566 敦
6590 斐
65a1 斡
65a7 斧
65af 斯
65bc 於
65ed 旭
6602 昂
660a 昊
660c 昌
660f 昏
6634 昴
6643 晃
6644 晄
664b 晋
664f 晏
6652 晒
665a 晚
665d 晝
665f 晟
6666 晦
6668 晨
667a 智
6689 暉
66a2 暢
66c6 曆
66c9 曉
66d9 曙
66dd 曝
66f3 曳
66fe 曾
670b 朋
6714 朔
674e 李
674f 杏
6756 杖
675c 杜
676d 杭
6775 杵
6777 杷
6787 枇
67ca 柊
67cf 柏
67d1 柑
67d8 柘
67da 柚
67f4 柴
67fe 柾
6816 栖
6817 栗
681e 栞
6842 桂
6850 桐
6854 桔
6867 桧
6876 桶
6881 梁
6893 梓
689b 梛
689d 條
68a2 梢
68a7 梧
68af 梯
68b6 梶
68f2 棲
6900 椀
690b 椋
691b 椛
6930 椰
693f 椿
694a 楊
6953 楓
6955 楕
695a 楚
6960 楠
6962 楢
696f 楯
698a 榊
698e 榎
699b 榛
69ae 榮
69c7 槇
69cc 槌
69cd 槍
69d9 槙
69fb 槻
6a02 樂
6a0b 樋
6a1f 樟
6a23 樣
6a2b 樫
6a3a 樺
6a3d 樽
6a58 橘
6a59 橙
6a6b 橫
6a80 檀
6a8e 檎
6a9c 檜
6aa2 檢
6ac2 櫂
6ad3 櫓
6adb 櫛
6afb 櫻
6b23 欣
6b3d 欽
6b4e 歎
6b64 此
6b65 步
6b77 歷
6b86 殆
6bc5 毅
6bcf 每
6bd8 毘
6bec 毬
6c23 氣
6c40 汀
6c50 汐
6c5d 汝
6c72 汲
6c8c 沌
6c93 沓
6cab 沫
6d1b 洛
6d32 洲
6d35 洵
6d38 洸
6d69 浩
6d6c 浬
6d89 涉
6dc0 淀
6dcb 淋
6dda 淚
6de8 淨
6df3 淳
6df5 淵
6e1a 渚
6e25 渥
6e34 渴
6e3e 渾
6e4a 湊
6e58 湘
6e5b 湛
6e9c 溜
6ea2 溢
6eab 溫
6ec9 滉
6eef 滯
6f15 漕
