4e00 一
4e01 丁
4e03 七
4e08 丈
4e09 三
4e0a 上
4e0b 下
4e0d 不
4e11 丑
4e14 且
4e16 世
4e18 丘
4e19 丙
4e2d 中
4e38 丸
4e39 丹
4e3b 主
4e43 乃
4e45 久
4e4b 之
4e4e 乎
4e58 乘
4e59 乙
4e5d 九
4e5e 乞
4e5f 也
4e73 乳
4e7e 乾
4e82 亂
4e86 了
4e88 予
4e8b 事
4e8c 二
4e8e 于
4e91 云
4e92 互
4e94 五
4e95 井
4e9e 亞
4ea1 亡
4ea4 交
4ea5 亥
4ea6 亦
4ea8 亨
4eab 享
4eac 京
4ead 亭
4eba 人
4ec1 仁
4eca 今
4ecb 介
4ed5 仕
4ed6 他
4ed8 付
4ed9 仙
4ee3 代
4ee4 令
4ee5 以
4ef0 仰
4ef2 仲
4ef6 件
4efb 任
4f01 企
4f0f 伏
4f10 伐
4f11 休
4f2f 伯
4f34 伴
4f38 伸
4f3c 似
4f46 但
4f4d 位
4f4e 低
4f4f 住
4f50 佐
4f55 何
4f59 余
4f5b 佛
4f5c 作
4f73 佳
4f7f 使
4f86 來
4f8b 例
4f8d 侍
4f9b 供
4f9d 依
4fae 侮
4faf 侯
4fb5 侵
4fbf 便
4fc2 係
4fc3 促
4fca 俊
4fd7 俗
4fdd 保
4fe1 信
4fee 修
4ff1 俱
5009 倉
500b 個
500d 倍
5012 倒
5019 候
501f 借
5023 倣
5024 値
502b 倫
5047 假
5049 偉
504f 偏
505c 停
5065 健
5074 側
5076 偶
508d 傍
5091 傑
5099 備
50ac 催
50b2 傲
50b3 傳
50b5 債
50b7 傷
50be 傾
50c5 僅
50cf 像
50da 僚
50de 僞
50e7 僧
50f9 價
5100 儀
5104 億
5109 儉
5112 儒
511f 償
512a 優
5143 元
5144 兄
5145 充
5146 兆
5148 先
5149 光
514b 克
514d 免
5152 兒
5165 入
5167 內
5168 全
5169 兩
516b 八
516c 公
516d 六
516e 兮
5171 共
5175 兵
5176 其
5177 具
5178 典
517c 兼
518a 冊
518d 再
5192 冒
51a0 冠
51a5 冥
51ac 冬
51b7 冷
51cd 凍
51dd 凝
51e1 凡
51f6 凶
51fa 出
5200 刀
5206 分
5207 切
520a 刊
5211 刑
5217 列
521d 初
5224 判
5225 別
5229 利
5230 到
5236 制
5237 刷
5238 券
523a 刺
523b 刻
5247 則
524a 削
524d 前
525b 剛
526f 副
5272 割
5275 創
5283 劃
5287 劇
528d 劍
529b 力
529f 功
52a0 加
52a3 劣
52a9 助
52aa 努
52c7 勇
52c9 勉
52d5 動
52d9 務
52dd 勝
52de 勞
52df 募
52e2 勢
52e4 勤
52f5 勵
52f8 勸
52ff 勿
5305 包
5316 化
5317 北
5339 匹
5340 區
5341 十
5343 千
5348 午
534a 半
5351 卑
5352 卒
5353 卓
5354 協
5357 南
535a 博
535c 卜
5360 占
536f 卯
5370 印
5371 危
