4e00 一
4e01 丁
4e03 七
4e07 万
4e08 丈
4e09 三
4e0a 上
4e0b 下
4e0d 不
4e11 丑
4e14 且
4e15 丕
4e16 世
4e18 丘
4e19 丙
4e1e 丞
4e2d 中
4e32 串
4e38 丸
4e39 丹
4e3b 主
4e42 乂
4e43 乃
4e45 久
4e4b 之
4e4d 乍
4e4e 乎
4e4f 乏
4e56 乖
4e58 乘
4e59 乙
4e5d 九
4e5e 乞
4e5f 也
4e6b 乫
4e6d 乭
4e73 乳
4e76 乶
4e77 乷
4e7e 乾
4e82 亂
4e86 了
4e88 予
4e8b 事
4e8c 二
4e8e 于
4e90 亐
4e91 云
4e92 互
4e94 五
4e95 井
4e98 亘
4e9b 些
4e9e 亞
4ea1 亡
4ea2 亢
4ea4 交
4ea5 亥
4ea6 亦
4ea8 亨
4eab 享
4eac 京
4ead 亭
4eae 亮
4eb6 亶
4eba 人
4ec0 什
4ec1 仁
4ec4 仄
4ec7 仇
4eca 今
4ecb 介
4ecd 仍
4ed4 仔
4ed5 仕
4ed6 他
4ed7 仗
4ed8 付
4ed9 仙
4edd 仝
4edf 仟
4ee3 代
4ee4 令
4ee5 以
4ef0 仰
4ef2 仲
4ef6 件
4ef7 价
4efb 任
4f01 企
4f09 伉
4f0a 伊
4f0b 伋
4f0d 伍
4f0e 伎
4f0f 伏
4f10 伐
4f11 休
4f2f 伯
4f34 伴
4f36 伶
4f38 伸
4f3a 伺
4f3c 似
4f3d 伽
4f43 佃
4f46 但
4f47 佇
4f48 佈
4f4d 位
4f4e 低
4f4f 住
4f50 佐
4f51 佑
4f55 何
4f59 余
4f5a 佚
4f5b 佛
4f5c 作
4f69 佩
4f6f 佯
4f70 佰
4f73 佳
4f76 佶
4f7a 佺
4f7e 佾
4f7f 使
4f81 侁
4f83 侃
4f84 侄
4f86 來
4f88 侈
4f8a 侊
4f8b 例
4f8d 侍
4f8f 侏
4f91 侑
4f96 侖
4f98 侘
4f9b 供
4f9d 依
4fae 侮
4faf 侯
4fb5 侵
4fb6 侶
4fbf 便
4fc2 係
4fc3 促
4fc4 俄
4fc9 俉
4fca 俊
4fce 俎
4fd1 俑
4fd3 俓
4fd4 俔
4fd7 俗
4fda 俚
4fdd 保
4fdf 俟
4fe0 俠
4fe1 信
4fee 修
4fef 俯
4ff1 俱
4ff3 俳
4ff5 俵
4ff8 俸
4ffa 俺
5002 倂
5006 倆
5009 倉
500b 個
500d 倍
5011 們
5012 倒
5016 倖
5019 候
501a 倚
501c 倜
501e 倞
501f 借
5021 倡
5023 倣
5024 値
5026 倦
5027 倧
5028 倨
502a 倪
502b 倫
502c 倬
502d 倭
503b 倻
5043 偃
5047 假
5048 偈
5049 偉
504f 偏
5055 偕
505a 做
505c 停
5065 健
5074 側
5075 偵
5076 偶
5078 偸
5080 傀
5085 傅
508d 傍
5091 傑
5098 傘
5099 備
