4e00 一
4e01 丁
4e03 七
4e07 万
4e08 丈
4e09 三
4e0a 上
4e0b 下
4e0c 丌
4e0d 不
4e0e 与
4e0f 丏
4e10 丐
4e11 丑
4e14 且
4e15 丕
4e16 世
4e18 丘
4e19 丙
4e1e 丞
4e1f 丟
4e26 並
4e2b 丫
4e2d 中
4e2e 丮
4e30 丰
4e31 丱
4e32 串
4e33 丳
4e38 丸
4e39 丹
4e3b 主
4e3c 丼
4e42 乂
4e43 乃
4e45 久
4e47 乇
4e48 么
4e4b 之
4e4d 乍
4e4e 乎
4e4f 乏
4e52 乒
4e53 乓
4e56 乖
4e58 乘
4e59 乙
4e5c 乜
4e5d 九
4e5e 乞
4e5f 也
4e69 乩
4e73 乳
4e7e 乾
4e7f 乿
4e82 亂
4e83 亃
4e84 亄
4e86 了
4e88 予
4e8b 事
4e8c 二
4e8d 亍
4e8e 于
4e91 云
4e92 互
4e93 亓
4e94 五
4e95 井
4e99 亙
4e9b 些
4e9e 亞
4e9f 亟
4ea1 亡
4ea2 亢
4ea4 交
4ea5 亥
4ea6 亦
4ea8 亨
4eab 享
4eac 京
4ead 亭
4eae 亮
4eb3 亳
4eb6 亶
4eb9 亹
4eba 人
4ec0 什
4ec1 仁
4ec2 仂
4ec3 仃
4ec4 仄
4ec6 仆
4ec7 仇
4ec8 仈
4ec9 仉
4eca 今
4ecb 介
4ecd 仍
4ed4 仔
4ed5 仕
4ed6 他
4ed7 仗
4ed8 付
4ed9 仙
4eda 仚
4edc 仜
4edd 仝
4ede 仞
4edf 仟
4ee1 仡
4ee3 代
4ee4 令
4ee5 以
4ee8 仨
4ee9 仩
4ef0 仰
4ef1 仱
4ef2 仲
4ef3 仳
4ef4 仴
4ef5 仵
4ef6 件
4ef7 价
4efb 任
4efd 份
4eff 仿
4f00 伀
4f01 企
4f02 伂
4f04 伄
4f05 伅
4f08 伈
4f09 伉
4f0a 伊
4f0b 伋
4f0d 伍
4f0e 伎
4f0f 伏
4f10 伐
4f11 休
4f12 伒
4f13 伓
4f14 伔
4f15 伕
4f18 优
4f19 伙
4f1d 伝
4f22 伢
4f2c 伬
4f2d 伭
4f2f 伯
4f30 估
4f33 伳
4f34 伴
4f36 伶
4f38 伸
4f3a 伺
4f3b 伻
4f3c 似
4f3d 伽
4f3e 伾
4f3f 伿
4f41 佁
4f43 佃
4f46 但
4f47 佇
4f48 佈
4f49 佉
4f4c 佌
4f4d 位
4f4e 低
4f4f 住
4f50 佐
4f51 佑
4f52 佒
4f53 体
4f54 佔
4f55 何
4f56 佖
4f57 佗
4f58 佘
4f59 余
4f5a 佚
4f5b 佛
4f5c 作
4f5d 佝
4f5e 佞
4f5f 佟
4f60 你
4f61 佡
4f62 佢
4f63 佣
4f64 佤
4f67 佧
4f69 佩
4f6a 佪
4f6b 佫
4f6c 佬
4f6e 佮
4f6f 佯
4f70 佰
