35ad 㖭
35ce 㗎
362d 㘭
39ec 㧬
3a52 㩒
3deb 㷫
4e2a 个
4e6a 乪
4e78 乸
519a 冚
51a7 冧
51ea 凪
528f 劏
5413 吓
5416 吖
5493 咓
5497 咗
54cb 哋
54cd 响
54e3 哣
5502 唂
5513 唓
551e 唞
5525 唥
5536 唶
553b 唻
555d 啝
5569 啩
556b 啫
5571 啱
5572 啲
55ba 喺
55bc 喼
55cc 嗌
55f0 嗰
55f1 嗱
5605 嘅
5622 嘢
5625 嘥
562d 嘭
5643 噃
5649 噉
564f 噏
569f 嚟
56a1 嚡
56bf 嚿
57de 埞
58c6 壆
5aaa 媪
5af2 嫲
5b05 嬅
5b6d 孭
5c05 尅
5c10 尐
6031 怱
6120 愠
6164 慤
6225 戥
6286 抆
62c3 拃
62c5 担
639f 掟
63b9 掹
63de 揞
63e6 揦
63f8 揸
63fc 揼
63fe 揾
6423 搣
6477 摷
651e 攞
6530 攰
66f1 曱
67b1 枱
6ac8 櫈
6c39 氹
6ed8 滘
70da 烚
71f6 燶
73cf 珏
743c 琼
7534 甴
7567 畧
758e 疎
7744 睄
7793 瞓
7864 硤
7ab0 窰
7b72 筲
7cc9 糉
7ced 糭
7f97 羗
7fa3 羣
8037 耷
8137 脷
81b6 膶
8534 蔴
885e 衞
88c7 裇
8b4c 譌
8de3 跣
8e0e 踎
8ead 躭
8eda 軚
8f0b 輋
8ff9 迹
9262 鉢
935a 鍚
9385 鎅
945b 鑛
95aa 閪
97f5 韵
9938 餸
9e96 麖
9eaa 麪
9f08 鼈
9fa2 龢
20779 𠝹
20ea2 𠺢
20ef9 𠻹
20f4c 𠽌
21075 𡁵
2107b 𡁻
210c1 𡃁
22cc2 𢳂
23cb7 𣲷
282e2 𨋢
