3e74 㹴
4e00 一
4e01 丁
4e03 七
4e07 万
4e08 丈
4e09 三
4e0a 上
4e0b 下
4e0d 不
4e0e 与
4e10 丐
4e11 丑
4e14 且
4e15 丕
4e16 世
4e18 丘
4e19 丙
4e1e 丞
4e1f 丟
4e22 丢
4e26 並
4e2b 丫
4e2d 中
4e30 丰
4e32 串
4e38 丸
4e39 丹
4e3b 主
4e3c 丼
4e42 乂
4e43 乃
4e45 久
4e48 么
4e4b 之
4e4d 乍
4e4e 乎
4e4f 乏
4e52 乒
4e53 乓
4e56 乖
4e58 乘
4e59 乙
4e5c 乜
4e5d 九
4e5e 乞
4e5f 也
4e69 乩
4e73 乳
4e7e 乾
4e82 亂
4e86 了
4e88 予
4e8b 事
4e8c 二
4e8e 于
4e91 云
4e92 互
4e93 亓
4e94 五
4e95 井
4e98 亘
4e99 亙
4e9b 些
4e9e 亞
4e9f 亟
4ea1 亡
4ea2 亢
4ea4 交
4ea5 亥
4ea6 亦
4ea8 亨
4eab 享
4eac 京
4ead 亭
4eae 亮
4eb3 亳
4eba 人
4ec0 什
4ec1 仁
4ec3 仃
4ec4 仄
4ec6 仆
4ec7 仇
4eca 今
4ecb 介
4ecd 仍
4ed4 仔
4ed5 仕
4ed6 他
4ed7 仗
4ed8 付
4ed9 仙
4edd 仝
4ede 仞
4edf 仟
4ee3 代
4ee4 令
4ee5 以
4ee8 仨
4ef0 仰
4ef2 仲
4ef3 仳
4ef5 仵
4ef6 件
4ef7 价
4efb 任
4efc 仼
4efd 份
4eff 仿
4f01 企
4f03 伃
4f09 伉
4f0a 伊
4f0b 伋
4f0d 伍
4f0e 伎
4f0f 伏
4f10 伐
4f11 休
4f15 伕
4f18 优
4f19 伙
4f1d 伝
4f2f 伯
4f30 估
4f34 伴
4f36 伶
4f38 伸
4f3a 伺
4f3c 似
4f3d 伽
4f43 佃
4f46 但
4f47 佇
4f48 佈
4f4d 位
4f4e 低
4f4f 住
4f50 佐
4f51 佑
4f53 体
4f54 佔
4f55 何
4f57 佗
4f58 佘
4f59 余
4f5a 佚
4f5b 佛
4f5c 作
4f5d 佝
4f5e 佞
4f5f 佟
4f60 你
4f62 佢
4f63 佣
4f69 佩
4f6c 佬
4f6f 佯
4f70 佰
4f73 佳
4f75 併
4f76 佶
4f7a 佺
4f7b 佻
4f7c 佼
4f7e 佾
4f7f 使
4f83 侃
4f84 侄
4f86 來
4f88 侈
4f8b 例
4f8d 侍
4f8f 侏
4f91 侑
4f94 侔
4f96 侖
4f97 侗
4f98 侘
4f9b 供
4f9d 依
4fae 侮
4faf 侯
4fb5 侵
4fb6 侶
4fb7 侷
4fbf 便
4fc2 係
4fc3 促
4fc4 俄
4fca 俊
4fcb 俋
4fce 俎
4fcf 俏
4fd0 俐
4fd1 俑
4fd7 俗
4fd8 俘
4fda 俚
4fdd 保
4fde 俞
4fdf 俟
4fe0 俠
4fe1 信
4fe3 俣
4fe5 俥
4fec 俬
4fee 修
4fef 俯
4ff1 俱
4ff3 俳
4ff5 俵
4ff6 俶
4ff8 俸
4ffa 俺
4ffe 俾
5000 倀
5006 倆
5009 倉
500b 個
500c 倌
500d 倍
500f 倏
5011 們
5012 倒
5014 倔
5016 倖
5018 倘
5019 候
501a 倚
501c 倜
501f 借
5021 倡
5022 倢
5023 倣
5025 倥
5026 倦
5028 倨
5029 倩
502a 倪
502b 倫
502c 倬
502d 倭
5036 倶
503c 值
5043 偃
5047 假
5048 偈
5049 偉
504c 偌
504e 偎
504f 偏
5055 偕
505a 做
505c 停
5065 健
506d 偭
5072 偲
5074 側
5075 偵
5076 偶
5077 偷
507a 偺
507d 偽
5080 傀
5085 傅
508c 傌
508d 傍
5091 傑
5096 傖
5098 傘
5099 備
509a 傚
509c 傜
50a2 傢
50a3 傣
50ac 催
50ad 傭
50af 傯
50b2 傲
50b3 傳
50b4 傴
50b5 債
50b7 傷
50bb 傻
50be 傾
50c2 僂
50c5 僅
50c7 僇
50c9 僉
50ce 僎
50cf 像
50d1 僑
50d5 僕
50d6 僖
50da 僚
50e3 僣
50e5 僥
50e7 僧
50e9 僩
50ed 僭
50ee 僮
50f1 僱
50f5 僵
50f9 價
50fb 僻
5100 儀
5102 儂
5104 億
5106 儆
5108 儈
5109 儉
5110 儐
5112 儒
5114 儔
5115 儕
5118 儘
511f 償
5121 儡
512a 優
5132 儲
5133 儳
5137 儷
5138 儸
513a 儺
513b 儻
513c 儼
513f 儿
5140 兀
5141 允
5143 元
5144 兄
5145 充
5146 兆
5147 兇
5148 先
5149 光
514b 克
514c 兌
514d 免
5151 兑
5152 兒
5154 兔
5155 兕
5157 兗
515a 党
515c 兜
5162 兢
5165 入
5167 內
